Date,Open,High,Low,Adj_Close,Vol.
2022-02-17,"7,284.90","7,356.80","7,282.30","7,296.20",846.62M
2022-02-16,"7,206.90","7,284.90","7,201.00","7,284.90",796.13M
2022-02-15,"7,243.90","7,251.40","7,198.00","7,206.90",730.12M
2022-02-14,"7,217.30","7,263.60","7,181.70","7,243.90",749.35M
2022-02-11,"7,288.50","7,294.40","7,191.80","7,217.30",629.40M
2022-02-10,"7,268.30","7,336.60","7,260.80","7,288.50",886.64M
2022-02-09,"7,186.70","7,268.30","7,183.00","7,268.30",978.75M
2022-02-08,"7,110.80","7,203.00","7,110.80","7,186.70",771.03M
2022-02-07,"7,120.20","7,128.30","7,046.50","7,110.80",617.94M
2022-02-04,"7,078.00","7,120.20","7,045.90","7,120.20",833.72M
2022-02-03,"7,087.70","7,095.10","7,045.80","7,078.00",628.83M
2022-02-02,"7,006.00","7,107.20","7,006.00","7,087.70",643.55M
2022-02-01,"6,971.60","7,043.60","6,945.70","7,006.00",685.79M
2022-01-31,"6,988.10","7,004.40","6,932.70","6,971.60",759.09M
2022-01-28,"6,838.30","7,000.00","6,837.90","6,988.10",2.09B
2022-01-27,"6,961.60","7,042.80","6,758.20","6,838.30",1.18B
2022-01-25,"7,139.50","7,139.50","6,920.70","6,961.60",1.10B
2022-01-24,"7,173.70","7,173.70","7,086.80","7,139.50",760.46M
2022-01-21,"7,342.40","7,342.40","7,153.30","7,175.80",910.99M
2022-01-20,"7,332.50","7,354.60","7,298.50","7,342.40",684.95M
2022-01-19,"7,408.80","7,408.80","7,325.70","7,332.50",697.49M
2022-01-18,"7,417.30","7,445.10","7,398.20","7,408.80",549.28M
2022-01-17,"7,393.90","7,429.30","7,385.80","7,417.30",472.82M
2022-01-14,"7,474.40","7,474.40","7,386.80","7,393.90",619.98M
2022-01-13,"7,438.90","7,487.30","7,438.90","7,474.40",605.24M
2022-01-12,"7,390.10","7,467.50","7,390.10","7,438.90",569.40M
2022-01-11,"7,447.10","7,447.10","7,376.80","7,390.10",549.65M
2022-01-10,"7,453.30","7,460.20","7,409.90","7,447.10",410.07M
2022-01-07,"7,358.30","7,484.60","7,358.30","7,453.30",469.08M
2022-01-06,"7,565.80","7,565.80","7,340.40","7,358.30",623.92M
2022-01-05,"7,589.80","7,620.20","7,563.40","7,565.80",472.27M
2022-01-04,"7,444.60","7,594.70","7,444.60","7,589.80",503.96M
2021-12-31,"7,513.40","7,515.30","7,444.60","7,444.60",272.41M
2021-12-30,"7,509.80","7,520.60","7,499.50","7,513.40",365.35M
2021-12-29,"7,420.30","7,518.40","7,420.30","7,509.80",428.61M
2021-12-24,"7,387.60","7,435.90","7,387.60","7,420.30",230.00M
2021-12-23,"7,364.80","7,404.20","7,363.60","7,387.60",390.03M
2021-12-22,"7,355.00","7,374.50","7,333.00","7,364.80",539.85M
2021-12-21,"7,292.20","7,358.30","7,287.30","7,355.00",571.41M
2021-12-20,"7,304.00","7,304.00","7,257.80","7,292.20",543.60M
2021-12-17,"7,295.70","7,350.30","7,295.70","7,304.00",1.22B
2021-12-16,"7,327.10","7,334.50","7,277.10","7,295.70",787.43M
2021-12-15,"7,378.40","7,378.40","7,325.70","7,327.10",514.72M
2021-12-14,"7,379.30","7,393.50","7,341.30","7,378.40",581.39M
2021-12-13,"7,353.50","7,417.70","7,353.50","7,379.30",452.15M
2021-12-10,"7,384.50","7,384.50","7,336.70","7,353.50",599.53M
2021-12-09,"7,405.40","7,418.30","7,377.70","7,384.50",542.21M
2021-12-08,"7,313.90","7,443.40","7,313.90","7,405.40",675.57M
2021-12-07,"7,245.10","7,326.10","7,245.10","7,313.90",601.67M
2021-12-06,"7,241.20","7,257.90","7,207.80","7,245.10",650.43M
2021-12-03,"7,225.20","7,288.20","7,211.50","7,241.20",631.36M
2021-12-02,"7,235.90","7,239.70","7,168.90","7,225.20",652.44M
2021-12-01,"7,256.00","7,262.30","7,183.40","7,235.90",654.05M
2021-11-30,"7,239.80","7,332.60","7,239.80","7,256.00",1.12B
2021-11-29,"7,279.30","7,279.30","7,180.30","7,239.80",817.95M
2021-11-26,"7,407.30","7,407.30","7,260.30","7,279.30",577.17M
2021-11-25,"7,399.40","7,412.70","7,373.70","7,407.30",597.76M
2021-11-24,"7,410.60","7,425.00","7,381.80","7,399.40",595.33M
2021-11-23,"7,353.10","7,416.60","7,353.10","7,410.60",606.30M
2021-11-22,"7,396.50","7,396.50","7,337.00","7,353.10",486.26M
2021-11-19,"7,379.20","7,404.90","7,376.00","7,396.50",525.25M
2021-11-18,"7,369.90","7,398.20","7,343.80","7,379.20",634.51M
2021-11-17,"7,420.40","7,431.10","7,342.90","7,369.90",626.09M
2021-11-16,"7,470.10","7,470.10","7,403.50","7,420.40",626.13M
2021-11-15,"7,443.00","7,479.10","7,437.90","7,470.10",499.12M
2021-11-12,"7,381.90","7,465.80","7,381.90","7,443.00",572.67M
2021-11-11,"7,423.90","7,423.90","7,329.50","7,381.90",601.08M
2021-11-10,"7,434.20","7,460.50","7,411.90","7,423.90",549.06M
2021-11-09,"7,452.20","7,468.60","7,434.20","7,434.20",609.74M
2021-11-08,"7,456.90","7,474.30","7,433.40","7,452.20",581.05M
2021-11-05,"7,428.00","7,477.20","7,424.40","7,456.90",568.01M
2021-11-04,"7,392.70","7,428.00","7,392.70","7,428.00",658.12M
2021-11-03,"7,324.30","7,431.60","7,324.30","7,392.70",587.76M
2021-11-02,"7,370.80","7,395.90","7,311.60","7,324.30",491.50M
2021-11-01,"7,323.70","7,388.30","7,323.70","7,370.80",612.05M
2021-10-29,"7,430.40","7,447.00","7,318.80","7,323.70",695.89M
2021-10-28,"7,448.70","7,448.70","7,404.60","7,430.40",578.21M
2021-10-27,"7,443.40","7,473.90","7,419.70","7,448.70",596.69M
2021-10-26,"7,441.00","7,471.30","7,439.20","7,443.40",517.77M
2021-10-25,"7,415.50","7,471.70","7,415.50","7,441.00",464.11M
2021-10-22,"7,415.40","7,431.40","7,391.30","7,415.50",638.59M
2021-10-21,"7,413.70","7,446.70","7,403.70","7,415.40",751.88M
2021-10-20,"7,374.90","7,449.50","7,374.90","7,413.70",746.76M
2021-10-19,"7,381.10","7,406.90","7,373.80","7,374.90",581.73M
2021-10-18,"7,362.00","7,393.80","7,354.10","7,381.10",562.54M
2021-10-15,"7,311.70","7,373.20","7,311.70","7,362.00",565.80M
2021-10-14,"7,272.50","7,358.60","7,272.50","7,311.70",648.07M
2021-10-13,"7,280.70","7,294.00","7,256.30","7,272.50",589.78M
2021-10-12,"7,299.80","7,330.40","7,260.40","7,280.70",669.14M
2021-10-11,"7,320.10","7,320.10","7,250.00","7,299.80",613.01M
2021-10-08,"7,256.70","7,322.00","7,256.70","7,320.10",630.30M
2021-10-07,"7,206.50","7,265.20","7,206.50","7,256.70",718.86M
2021-10-06,"7,248.40","7,279.40","7,183.50","7,206.50",726.94M
2021-10-05,"7,278.50","7,278.50","7,202.70","7,248.40",735.94M
2021-10-04,"7,185.50","7,305.90","7,185.50","7,278.50",464.15M
2021-10-01,"7,332.20","7,332.20","7,157.90","7,185.50",785.10M
2021-09-30,"7,196.70","7,332.20","7,196.70","7,332.20",801.81M
2021-09-29,"7,275.60","7,275.60","7,145.70","7,196.70",850.92M
2021-09-28,"7,384.20","7,384.20","7,275.60","7,275.60",753.73M
2021-09-27,"7,342.60","7,416.40","7,342.60","7,384.20",630.60M
2021-09-24,"7,370.20","7,377.00","7,334.20","7,342.60",666.26M
2021-09-23,"7,296.90","7,387.00","7,296.90","7,370.20",696.69M
2021-09-22,"7,273.80","7,338.60","7,241.80","7,296.90",663.95M
2021-09-21,"7,248.20","7,285.90","7,191.70","7,273.80",740.27M
2021-09-20,"7,390.40","7,390.40","7,233.60","7,248.20",721.06M
2021-09-17,"7,460.20","7,460.20","7,376.10","7,403.70",1.61B
2021-09-16,"7,417.00","7,487.60","7,417.00","7,460.20",908.93M
2021-09-15,"7,437.30","7,437.30","7,378.90","7,417.00",783.02M
2021-09-14,"7,425.20","7,446.00","7,388.90","7,437.30",810.67M
2021-09-13,"7,406.60","7,436.80","7,389.40","7,425.20",591.65M
