Date,Open,High,Low,Adj_Close
2021-09-01,"2,561.60","2,582.20","2,552.30","2,561.20"
2021-08-31,"2,547.90","2,562.60","2,532.30","2,545.20"
2021-08-30,"2,546.00","2,549.90","2,537.20","2,545.70"
2021-08-27,"2,526.90","2,544.00","2,524.40","2,543.50"
2021-08-26,"2,538.20","2,546.90","2,525.90","2,529.30"
2021-08-25,"2,542.60","2,548.90","2,538.70","2,548.20"
2021-08-24,"2,555.80","2,557.70","2,531.80","2,545.20"
2021-08-23,"2,555.30","2,559.20","2,535.70","2,547.20"
2021-08-20,"2,532.30","2,536.20","2,513.70","2,534.20"
2021-08-19,"2,545.00","2,547.90","2,514.20","2,535.90"
2021-08-18,"2,561.90","2,579.70","2,557.70","2,577.30"
2021-08-17,"2,571.90","2,571.90","2,557.70","2,564.10"
2021-08-16,"2,590.50","2,602.20","2,580.70","2,586.30"
2021-08-13,"2,597.60","2,609.60","2,596.60","2,607.10"
2021-08-12,"2,587.80","2,598.80","2,585.10","2,597.80"
2021-08-11,"2,570.40","2,589.50","2,563.10","2,586.60"
2021-08-10,"2,556.00","2,570.40","2,555.80","2,561.20"
2021-08-09,"2,547.70","2,558.20","2,544.00","2,555.80"
2021-08-06,"2,508.30","2,546.00","2,507.30","2,542.10"
2021-08-05,"2,495.10","2,509.60","2,491.70","2,508.80"
2021-08-04,"2,489.70","2,497.60","2,477.50","2,492.20"
2021-08-03,"2,482.40","2,490.20","2,470.70","2,477.20"
2021-08-02,"2,495.60","2,510.80","2,477.50","2,478.70"
2021-07-30,"2,489.20","2,493.70","2,477.00","2,479.90"
2021-07-29,"2,480.90","2,496.60","2,473.30","2,493.70"
2021-07-28,"2,454.00","2,472.60","2,448.70","2,468.70"
2021-07-27,"2,465.00","2,468.20","2,443.20","2,451.60"
2021-07-26,"2,448.70","2,471.60","2,439.80","2,471.20"
2021-07-23,"2,435.40","2,459.40","2,434.00","2,455.00"
2021-07-22,"2,426.20","2,441.80","2,416.80","2,424.90"
2021-07-21,"2,371.80","2,411.90","2,367.00","2,410.80"
2021-07-20,"2,359.40","2,367.90","2,326.80","2,354.80"
2021-07-19,"2,390.90","2,397.30","2,328.80","2,342.00"
2021-07-16,"2,428.10","2,435.20","2,404.20","2,415.60"
2021-07-15,"2,440.80","2,445.70","2,418.60","2,422.00"
2021-07-14,"2,447.20","2,466.80","2,445.20","2,456.00"
2021-07-13,"2,466.20","2,466.20","2,443.20","2,451.10"
2021-07-12,"2,442.80","2,465.30","2,432.00","2,463.10"
2021-07-09,"2,411.00","2,443.00","2,410.20","2,441.10"
2021-07-08,"2,446.90","2,447.70","2,381.70","2,399.20"
2021-07-07,"2,468.20","2,477.50","2,451.10","2,462.10"
2021-07-06,"2,475.60","2,479.20","2,450.60","2,456.50"
2021-07-05,"2,462.80","2,485.80","2,450.60","2,478.50"
2021-07-02,"2,471.60","2,473.10","2,456.90","2,463.10"
2021-07-01,"2,460.60","2,474.60","2,438.40","2,463.30"
2021-06-30,"2,471.20","2,474.10","2,429.60","2,444.20"
2021-06-29,"2,462.10","2,480.40","2,461.60","2,470.20"
2021-06-28,"2,481.90","2,490.70","2,455.00","2,456.20"
2021-06-25,"2,478.70","2,485.80","2,475.60","2,483.80"
2021-06-24,"2,447.70","2,477.50","2,445.70","2,476.00"
2021-06-23,"2,466.20","2,474.10","2,441.30","2,442.30"
2021-06-22,"2,474.60","2,475.10","2,454.50","2,466.80"
2021-06-21,"2,436.40","2,474.10","2,434.20","2,472.60"
2021-06-18,"2,496.10","2,501.90","2,449.60","2,451.10"
2021-06-17,"2,497.60","2,506.80","2,496.60","2,498.80"
2021-06-16,"2,508.80","2,509.60","2,497.30","2,503.40"
2021-06-15,"2,508.80","2,512.00","2,492.40","2,501.20"
2021-06-14,"2,507.80","2,513.90","2,495.80","2,502.70"
2021-06-11,"2,508.60","2,517.80","2,504.90","2,515.70"
2021-06-10,"2,517.30","2,520.60","2,495.80","2,507.30"
2021-06-09,"2,525.40","2,530.80","2,512.70","2,517.60"
2021-06-08,"2,528.40","2,535.70","2,513.70","2,524.00"
