Date,Open,High,Low,Adj_Close,Volume
13-Jan-22,"69,206.77","69,206.77","68,617.74","69,187.73",92.05M
12-Jan-22,"67,302.20","69,226.32","67,302.20","69,206.77",104.78M
11-Jan-22,"67,114.14","67,802.02","67,098.32","67,302.20",98.18M
10-Jan-22,"67,251.03","67,702.30","67,114.14","67,114.14",66.35M
07-Jan-22,"67,420.20","67,621.51","67,076.63","67,251.03",52.74M
06-Jan-22,"68,367.16","68,367.16","67,294.10","67,420.20",70.09M
05-Jan-22,"68,398.98","68,410.14","67,844.62","68,367.16",59.32M
04-Jan-22,"67,025.54","68,398.98","66,918.12","68,398.98",62.00M
03-Jan-22,"67,052.40","67,612.28","66,988.57","67,025.54",42.55M
31-Dec-21,"67,129.53","67,263.14","66,758.87","67,052.40",22.27M
30-Dec-21,"66,613.94","67,187.51","66,598.12","67,129.53",49.98M
29-Dec-21,"65,864.13","66,667.00","65,657.72","66,613.94",41.25M
28-Dec-21,"65,023.34","66,012.40","65,003.56","65,864.13",46.44M
24-Dec-21,"65,125.68","65,362.86","65,023.34","65,023.34",9.03M
23-Dec-21,"64,803.84","65,513.57","64,803.84","65,125.68",48.77M
22-Dec-21,"64,611.70","65,123.15","64,549.25","64,803.84",44.06M
21-Dec-21,"63,652.47","64,834.97","63,652.47","64,611.70",62.36M
20-Dec-21,"64,680.34","64,680.34","63,030.90","63,652.47",78.19M
17-Dec-21,"65,102.29","65,900.44","64,680.34","64,680.34",294.06M
15-Dec-21,"65,212.46","65,695.75","64,939.87","65,102.29",343.08M
14-Dec-21,"65,177.02","65,447.33","64,836.01","65,212.46",159.64M
13-Dec-21,"65,390.32","66,125.42","65,087.56","65,177.02",133.76M
10-Dec-21,"65,779.50","65,957.29","65,318.86","65,390.32",123.82M
09-Dec-21,"65,992.71","66,187.56","65,485.58","65,779.50",114.75M
08-Dec-21,"66,513.46","66,692.71","65,798.05","65,992.71",130.03M
07-Dec-21,"64,598.46","66,537.07","64,598.46","66,513.46",123.34M
06-Dec-21,"64,306.68","64,841.15","64,183.82","64,598.46",112.17M
03-Dec-21,"64,555.25","65,111.64","64,306.68","64,306.68",113.99M
02-Dec-21,"64,785.66","65,098.33","64,195.91","64,555.25",152.58M
01-Dec-21,"64,063.82","64,836.58","64,057.16","64,785.66",143.23M
30-Nov-21,"63,600.61","64,235.95","63,118.13","64,063.82",315.56M
29-Nov-21,"62,410.83","63,873.55","62,308.15","63,600.61",134.97M
26-Nov-21,"64,062.74","64,062.74","62,280.52","62,410.83",198.96M
25-Nov-21,"64,169.17","64,530.49","63,899.78","64,062.74",76.92M
24-Nov-21,"64,566.39","64,804.91","63,875.92","64,169.17",96.59M
23-Nov-21,"64,384.46","64,615.35","63,972.97","64,566.39",102.20M
22-Nov-21,"63,870.65","64,459.26","63,715.59","64,384.46",91.86M
19-Nov-21,"64,288.72","64,729.71","63,609.28","63,870.65",100.96M
18-Nov-21,"64,337.17","64,499.41","64,020.64","64,288.72",101.54M
17-Nov-21,"64,281.45","64,822.46","64,179.09","64,337.17",0
16-Nov-21,"63,480.76","64,386.19","63,480.76","64,281.45",105.73M
15-Nov-21,"63,263.40","63,688.60","63,018.40","63,480.76",76.21M
12-Nov-21,"62,381.97","63,310.25","62,372.42","63,263.40",93.74M
11-Nov-21,"61,537.83","62,565.13","61,509.73","62,381.97",93.04M
10-Nov-21,"61,246.70","61,745.86","60,936.21","61,537.83",100.41M
09-Nov-21,"61,317.75","61,554.65","60,991.37","61,246.70",96.25M
08-Nov-21,"61,115.79","61,535.31","60,913.67","61,317.75",113.12M
05-Nov-21,"61,409.93","61,976.13","61,044.28","61,115.79",98.05M
04-Nov-21,"61,876.97","62,391.38","61,409.93","61,409.93",95.71M
03-Nov-21,"61,158.14","61,876.97","60,975.71","61,876.97",89.52M
02-Nov-21,"60,807.87","61,484.62","60,807.87","61,158.14",141.49M
29-Oct-21,"61,093.41","61,326.74","60,699.43","60,807.87",139.74M
28-Oct-21,"60,874.44","61,353.84","60,867.89","61,093.41",94.31M
27-Oct-21,"61,024.55","61,028.94","60,517.96","60,874.44",106.22M
26-Oct-21,"60,445.78","61,190.86","60,349.99","61,024.55",110.63M
25-Oct-21,"60,524.55","60,890.42","60,385.26","60,445.78",79.20M
22-Oct-21,"59,535.08","60,699.87","59,535.08","60,524.55",70.08M
21-Oct-21,"60,347.45","60,377.11","59,423.97","59,535.08",117.57M
20-Oct-21,"60,190.06","60,410.94","59,814.88","60,347.45",84.37M
19-Oct-21,"60,220.45","60,682.26","60,100.49","60,190.06",92.04M
18-Oct-21,"60,494.02","60,655.12","60,137.77","60,220.45",93.99M
15-Oct-21,"60,391.05","60,756.90","60,324.36","60,494.02",105.24M
14-Oct-21,"59,516.75","60,468.15","59,516.75","60,391.05",115.23M
13-Oct-21,"59,501.73","59,516.75","59,023.39","59,516.75",88.50M
12-Oct-21,"59,662.98","59,662.98","59,047.10","59,501.73",131.71M
11-Oct-21,"58,839.09","59,948.04","58,839.09","59,662.98",108.13M
08-Oct-21,"58,721.80","59,149.41","58,637.15","58,839.09",156.21M
07-Oct-21,"57,523.81","58,815.61","57,523.81","58,721.80",142.83M
06-Oct-21,"58,097.72","58,165.04","56,982.97","57,523.81",140.52M
05-Oct-21,"57,754.97","58,129.24","57,564.31","58,097.72",135.98M
04-Oct-21,"57,265.62","57,945.34","57,040.94","57,754.97",122.07M
01-Oct-21,"57,863.40","57,863.40","57,216.55","57,265.62",113.85M
