Date,Open,High,Low,Adj_Close,Vol.
06/05/2022,"12,610.21","12,673.84","12,557.52","12,656.05",138.08M
06/02/2022,"12,766.20","12,768.96","12,605.01","12,605.01",178.89M
06/01/2022,"12,911.45","12,912.92","12,766.47","12,766.47",182.27M
05/31/2022,"12,967.78","13,034.50","12,806.05","12,921.74",386.64M
05/30/2022,"12,711.77","12,922.64","12,710.41","12,907.17",226.70M
05/29/2022,"12,633.85","12,717.13","12,633.84","12,689.01",151.47M
05/26/2022,"12,655.70","12,730.14","12,472.88","12,530.34",167.92M
05/25/2022,"12,333.28","12,631.44","12,325.13","12,588.89",184.34M
05/24/2022,"12,251.21","12,355.23","12,199.50","12,300.86",157.93M
05/23/2022,"12,386.10","12,456.70","12,178.51","12,235.91",178.94M
05/22/2022,"12,536.22","12,539.70","12,243.78","12,334.94",784.68M
05/19/2022,"12,484.90","12,545.06","12,349.28","12,427.96",191.15M
05/18/2022,"12,750.69","12,919.26","12,700.72","12,713.38",190.60M
05/17/2022,"12,937.48","12,953.89","12,575.65","12,689.87",204.80M
05/16/2022,"13,229.41","13,286.34","12,914.46","12,914.89",174.71M
05/15/2022,"13,017.07","13,211.58","12,895.88","13,149.29",141.54M
05/12/2022,"13,391.49","13,393.00","12,835.30","12,835.30",209.81M
05/11/2022,"13,493.01","13,595.40","13,377.69","13,379.08",164.50M
05/10/2022,"13,760.97","13,769.05","13,462.51","13,509.31",184.89M
05/09/2022,"13,853.06","13,949.13","13,812.63","13,814.85",223.50M
05/08/2022,"13,790.83","13,832.79","13,747.77","13,820.35",140.10M
04/28/2022,"13,708.73","13,765.70","13,652.95","13,733.87",151.72M
04/27/2022,"13,533.74","13,675.74","13,515.75","13,643.91",149.65M
04/26/2022,"13,585.58","13,635.76","13,417.10","13,503.49",158.46M
04/25/2022,"13,451.11","13,543.25","13,371.16","13,543.25",181.60M
04/24/2022,"13,491.86","13,504.82","13,388.65","13,463.09",124.07M
04/21/2022,"13,680.54","13,701.93","13,534.40","13,534.40",181.37M
04/20/2022,"13,552.67","13,672.81","13,483.54","13,668.54",182.21M
04/19/2022,"13,752.12","13,783.56","13,505.57","13,505.57",180.24M
04/18/2022,"13,670.20","13,742.25","13,658.11","13,733.14",158.34M
04/17/2022,"13,644.85","13,707.66","13,584.07","13,682.39",174.21M
04/14/2022,"13,540.10","13,621.08","13,436.45","13,621.08",201.09M
04/13/2022,"13,648.97","13,680.02","13,509.50","13,540.27",240.23M
04/12/2022,"13,500.72","13,646.12","13,489.47","13,646.12",241.92M
04/11/2022,"13,412.30","13,511.52","13,399.67","13,483.23",217.59M
04/10/2022,"13,350.90","13,422.59","13,342.83","13,395.46",169.83M
04/07/2022,"13,250.63","13,328.23","13,231.17","13,313.98",183.62M
04/06/2022,"13,198.42","13,271.95","13,167.81","13,255.96",285.12M
04/05/2022,"13,189.72","13,226.12","13,159.79","13,206.88",214.40M
04/04/2022,"13,087.63","13,165.34","13,057.01","13,165.34",183.40M
04/03/2022,"13,132.42","13,147.97","13,063.52","13,082.76",116.98M
03/31/2022,"13,029.14","13,090.40","12,981.91","13,090.40",209.38M
03/30/2022,"13,096.78","13,101.06","12,992.27","13,038.22",216.18M
03/29/2022,"13,065.16","13,114.89","13,039.64","13,101.36",235.20M
03/28/2022,"12,999.81","13,064.11","12,972.88","13,064.11",207.25M
03/27/2022,"12,916.10","13,000.10","12,901.30","12,999.73",198.57M
03/24/2022,"12,957.36","12,968.15","12,914.05","12,948.37",171.14M
03/23/2022,"12,875.40","12,944.16","12,862.60","12,944.16",158.20M
03/22/2022,"12,851.03","12,881.45","12,791.69","12,881.45",170.74M
03/21/2022,"12,905.55","12,959.96","12,828.81","12,831.69",211.83M
03/20/2022,"12,836.39","12,919.40","12,808.40","12,875.80",188.05M
03/17/2022,"12,719.76","12,831.80","12,674.05","12,769.21",345.68M
03/16/2022,"12,459.80","12,656.23","12,447.71","12,656.23",264.40M
03/15/2022,"12,458.87","12,484.80","12,390.65","12,407.60",156.49M
03/14/2022,"12,626.18","12,637.09","12,479.24","12,492.14",194.10M
03/13/2022,"12,725.43","12,771.51","12,605.18","12,605.40",209.29M
03/10/2022,"12,734.64","12,791.74","12,641.33","12,684.16",203.09M
03/09/2022,"12,864.11","12,928.00","12,738.59","12,738.59",229.46M
03/08/2022,"12,795.88","12,879.39","12,718.20","12,851.22",262.21M
03/07/2022,"12,858.59","12,881.92","12,684.33","12,808.03",285.82M
03/06/2022,"12,841.83","12,862.68","12,798.76","12,804.22",276.19M
03/03/2022,"12,724.96","12,781.46","12,694.91","12,756.31",303.81M
03/02/2022,"12,700.03","12,750.16","12,607.46","12,654.65",277.67M
03/01/2022,"12,594.70","12,748.00","12,583.64","12,674.34",266.79M
02/28/2022,"12,415.16","12,590.26","12,344.40","12,590.26",264.76M
02/27/2022,"12,497.38","12,570.31","12,400.58","12,417.56",235.88M
02/24/2022,"12,269.27","12,368.38","12,190.37","12,297.62",384.61M
02/23/2022,"12,521.36","12,591.46","12,470.81","12,527.63",254.69M
02/21/2022,"12,475.23","12,640.81","12,475.23","12,561.60",295.94M
02/20/2022,"12,530.44","12,616.61","12,463.17","12,463.17",228.18M
02/17/2022,"12,519.46","12,519.46","12,428.35","12,476.54",218.85M
02/16/2022,"12,362.75","12,511.58","12,344.33","12,495.22",243.45M
02/15/2022,"12,187.51","12,358.17","12,160.46","12,350.64",191.51M
02/14/2022,"12,020.46","12,204.58","11,967.50","12,204.58",190.16M
02/13/2022,"12,182.54","12,184.89","11,910.47","12,029.04",225.16M
02/10/2022,"12,203.52","12,268.71","12,174.29","12,268.71",153.95M
