,location,Cases,deaths,new_vaccinations,hosp_patients,median_age,extreme_poverty,male_smokers,female_smokers,total_smokers,diabetes_prevalence,population,population_density,life_expectancy
63,Jamaica,158.26145833333334,3.4873949579831933,3076.233695652174,0.0,31.400000000000528,0.0,28.599999999999564,5.300000000000096,16.94999999999983,11.280000000000095,2827694.0,266.8789999999937,74.47000000000084
64,Upper middle income,136654.1853320119,2454.331020812686,7875651.891851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501427940.0,0.0,0.0
65,Mexico,7329.1,341.0432489451477,444550.7168141593,0.0,29.299999999999507,2.5,21.400000000000183,6.899999999999882,14.150000000000032,13.05999999999991,126705138.0,66.44400000000148,75.05000000000146
66,Iraq,2526.9476386036963,26.223371251292658,13414.0,0.0,20.0,2.5,0.0,0.0,0.0,8.829999999999938,43533592.0,88.125,70.59999999999931
67,Ecuador,1061.4854166666667,24.36649214659686,66170.92700729927,0.0,28.099999999999575,3.5999999999999406,12.29999999999986,2.0,7.14999999999993,5.5500000000001,17797737.0,66.93899999999893,77.00999999999993
68,Dominican Republic,667.2216494845361,4.59538784067086,28428.254582484726,0.0,27.599999999999593,1.5999999999999797,19.100000000000055,8.5,13.800000000000027,8.199999999999873,11117874.0,222.87299999999894,74.08000000000132
69,Eswatini,76.82967607105539,1.5389610389610389,9230.416666666666,0.0,21.5,0.0,16.5,1.7000000000000286,9.100000000000014,3.940000000000047,1192271.0,79.49199999999877,60.19000000000068
70,Guatemala,1189.385579937304,20.839622641509433,41370.15030674847,0.0,22.900000000000208,8.699999999999909,0.0,0.0,0.0,10.180000000000144,17608483.0,157.83400000000194,74.30000000000138
71,Wallis and Futuna,1.0311653116531165,0.011965811965811967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11627.0,0.0,79.94000000000072
72,Thailand,4685.181455633101,34.1583850931677,244797.31923076924,0.0,40.09999999999923,0.09999999999999848,38.8000000000001,1.900000000000035,20.350000000000065,7.039999999999967,71601103.0,135.13199999999927,77.14999999999985
73,Namibia,179.40251572327045,4.869928400954654,2153.293577981651,0.0,22.0,13.399999999999773,34.200000000000514,9.699999999999973,21.950000000000244,3.940000000000047,2530151.0,3.077999999999977,63.70999999999925
74,South Africa,4153.575129533679,108.78762006403416,52539.380319148935,6145.780986762937,27.29999999999953,18.89999999999996,33.200000000000486,8.100000000000145,20.650000000000315,5.520000000000097,59392255.0,46.75400000000065,64.1299999999989
75,Samoa,22.5225988700565,0.13875598086124402,0.0,0.0,22.0,0.0,38.09999999999958,16.700000000000134,27.399999999999856,9.210000000000033,218764.0,69.41300000000034,73.31999999999974
76,Fiji,71.69852941176471,1.0771113831089352,28295.0,0.0,28.599999999999522,1.4000000000000128,34.79999999999969,10.20000000000004,22.499999999999865,14.489999999999814,924610.0,49.56199999999989,67.44000000000092
